XID,How Long do you stay here,Project name,Review
R395606,1 Year,Maple Sky Residences at Navins Starwood,"Seems like Navin’s is a new builder with lots of trials and errors, no proper lift service after handover also , all 21 floors floods when it rains, not given standard car parking size, water treatment not done properly, we can see dirty water in bathroom as well as in kitchen. Ferocious street dogs roaming inside the building near my door, this under construction building serves you paint art on your cars left inside the building by sprinkling the paint art and cement dust all over your car. They will surprise us everyday with new headache rules which disturbs our daily life, Welcome to stressful world by spending your hard earned money."
R395606,1 Year,Maple Sky Residences at Navins Starwood,Honest review price to amenities review will give it a 3.5 on 5 or in more accurate terms a 6.8 on 10. Most features are good but suffer a little in some form or the other. Parking to mail box to entry road to location are mediocre at best. Yes but away from all the pollution and noise. A beautiful place to be. 
R395606,1 Year,Maple Sky Residences at Navins Starwood,It's absolutely quality construction. Good experience from beginning to till now the transaction.
R395606,1 Year,Maple Sky Residences at Navins Starwood,It was an excellent experience with Navins. I got a good feedback from my cousin brothers on this appartment and hence I am booking one more for my self.It is a value for money property. I am happy with the decision made for this purchase.Today I am a happy flat owner. My overall experience with Navins is really Excellent!!!! ....I will recommend anyone who wish to purchase a property with Navins.!!!
R395606,1 Year,Maple Sky Residences at Navins Starwood,"Navins Pinewood Tower in Medavakkam Excellent construction and amazing infrastructure. Club house, swimming pool, gym, kids play zone, theatre and other amenities superb. I am very happy. I’m very much emotionally and sentimentally attached. Especially Priya from CRM, she did great support and guidance. Sales person and Marketing Manager they did best for us. I had great experience and loving it. I’m very much eager to start our life in Navins."
R395606,1 Year,Maple Sky Residences at Navins Starwood,It was really a nice experience booking a flat at Navin's. Well received at site and provided excellent service. Explained all the key features while signing the agreement and overall much satisfied with the service. Thanks Navin's for helping me to purchase dream house!
R395606,1 Year,Maple Sky Residences at Navins Starwood,"We have purchased flat at Navins star wood Medavakkam. We purchased flat at Navins after hearing the quality work they provide. We are happy with quality but we foresee multiple issues which are not being addressed. We got the house handed over a month back. Below are the issues we are facing. When we raised the concerns to the CRM team, they were not ready to acknowledge and address customer issues. We had to follow the CRM team continuously to get any response, and obviously all their responses were NO.
1) Washroom had water getting stagnant. When enquired they are bringing the concept of dry area and wet area inside the washroom. But the water is getting stagnant when we step inside the washroom, there are high chances for elders to slip. They asked us to sweep / mop washroom whenever we used, to avoid water stagnant. Also we were informed this is constructed in Singapore model ( dry/ wet) area, what ever it is water getting stagnant in washroom is not acceptable. The only final answer we have received is nothing cannot be done, this is how all flats are constructed and it cannot be corrected. This is highly disappointing.
2) Car parking is not alloted in the same size for everyone. We booked the flat at 2019 Jan, where the house was under construction and we were not able to see the size of parking. Later during handover we were given a smaller one. Also before handing over we were told by CRM team that they will work on changing the car parking but finally after final handover now they are telling they will not change."
R395606,1 Year,Maple Sky Residences at Navins Starwood,"Plenty of open space and lot of security in and around this place, but no one cares where some one is going and coming. I went as guest to one of the flats in that place, I expected to be a tightened security and someone had to acknowledge if I have to be in that premise, but to my surprise, I could easily reach their doorsteps, without and security check. This place has a lot of social activity amenities, which will take half a day to tour by itself. Parking of each block are well managed."
R395606,1 Year,Maple Sky Residences at Navins Starwood,"If i want to buy a home then Navins is the only word arise in my mind for my dream home. Navins means love, trust, happiness, peaceful and secured stay. Navins Projects are not planned for business however built with more sentiments and utmost care towards our dream home. This brand name stood strong in the market for 30years with lot of hard work and sacrifices from Mr. Kumar's family and their team. Am really proud to be part of Navins family."
R395606,1 Year,Maple Sky Residences at Navins Starwood,"Easy to deal with Navin's, no compromise on Quality

Navin's did fantastic job, it was quick, two way communication, understanding customer needs, efficient and very professional. Primary reason for us to choose Navin's is Quality and Customer service, this was evident from day one of our interactions. I was given with every detail that I asked for, Sales and CRM team is taking effort to get that WoW factor. I came across very few builders in Chennai who care for their customer's and Navin's is one among them.

Special mention to Manoj from Sales, Ganesh and Priya from CRM. You guys are doing fantastic job."
R395606,1 Year,Maple Sky Residences at Navins Starwood,Our experience with Navin's from the beginning until handing over was smooth and comfortable. The CRM team is always available for any queries. We visited the site a lot of times before handover and the maintenance and the service teams patiently cleared our doubts and provided complete support.
R395606,1 Year,Maple Sky Residences at Navins Starwood,"1. Water stagnate Problem in all three bath rooms. It's really frustrating and also cleaning is very difficult. Before hand over and during inspection time no one informed about this.

Navins Feedback: wet and dry area separation in bathroom. but its not going to work for Indian culture.

2. Car Parking Issue:

Basement car parking is not yet ready for use, also car parking OUT construction will be completed based on the Phase 3 project. So basement parking IN and OUT we have to use IN line. No one told me about this. Its really tough to use basement car parking.

3. Club House

We paid 1.5 L for life time free admission fee we paid and use the free areas(baby playing areas, Gym, Swimming Pool and etc) without any additional cost as per the agreement. After handover the topic is different they are discussing about the package and for every year you have to pay 10K for maintenance. We paid 1.5 L for and we have 400 flats. 600L. But still they are collecting money from us.

4. Children Playing Area

Children's playing area in common for Phase 1, Phase 2 and Phase 3. Its a small playing area its not possible to accommodate to all phases."
R395606,1 Year,Maple Sky Residences at Navins Starwood,"I am owner from Navin's Starwood . Very high maintenance cost, more than 6 K per month. The children don't have much place to play. Builders are asking the kids to play in parking lot :(. The amenities are not good enough for the crowd. Very arrogant management team who does not listen to the existing owners and does not want to deliver what was promised..."
R395606,1 Year,Maple Sky Residences at Navins Starwood,We are really happy to be a part of the Navins family. Amazing project and quality. Easy to access for chennai. Really impressed with Club house and Amenities. Thanks to customer support team.
R395606,1 Year,Maple Sky Residences at Navins Starwood,"After making a huge investment, I cannot park my Baleno car. Hope Navin drew the car border lines considering Nano car in mind 😀😀. Sometimes I used to take 5 mins to take my car outside of my car park without scratches and one good thing I cannot upgrade to any SUV(Indirect savings) 😞. Another thing I am paying rent of 6500K to 7500K including club house even after owning the property 😝😝😝. Don’t get carried away by model house and club house , those are attention grabbers and they mislead you hiding bad aspects like high maintenance, poor car park spacing.. just my advice"
